Producto,Medidas,Linea
FARMAVECTIN,"

31,5 mg",Bovinos
VITALFOS R INYECTABLE,"

200 mg
0,33 mg
5 mg
15 mg
20 mg","Bovinos, equinos, ovinos, caprinos, porcinos y caninos "
CIPROFIN DV 20%,"

200 mg",Aves
STARCAN ,"

72,5 mg
50 mg
0,25 mg",Caninos
ALBENDAZOL ZinCo 250 SUSPENSIÓN ORAL,"

250 mg","Bovinos, ovinos, caprinos"
NEUMOTIL PREMIX,"


200 g",Porcinos
CLORCID 5%,"

5 g"," Bovinos, equinos, porcinos, ovinos y caninos"
GLUTARCLIN ,"

40 g",No aplica
VITAL B12,"

30 mg
10 mg
5 mg
2,5 mg
40 mg","Equinos, caninos y felinos"
MARDUK,"

100 mg
26,4 mg
20 mg","Bovinos, equinos, porcinos, ovinos, caprinos y caninos "
BIOFLOX SOLUCION ORAL,"

200 mg",Aves
ANDITRAZ,"

12,5 g",Bovinos
INSUMAX,"

  3,0 g
  1,0 g
  5,0 g
  3,0 g
10,0 g
  3,0 g","Bovinos, caprinos, equinos, ovinos, porcinos y caninos"
PROPARTUM 20,"

20 U.I.","Bovinos, equinos, porcinos, ovinos, caprinos, caninos y felinos"
"BAÑAMEX 12,5%","


125 g",Bovinos
DAMASGAN ,"

100.000 U.I.
500.000 U.I.
1 mg
50 μg
2 mg
2,5 mg
7 mg
2,8 mg
2,8 mg
1,25 mg
0,5 mg
2,5 mg
4,2 mg
4,2 mg
3,5 mg
2,1 mg
0,42 mg
0,15 mg
2,10 mg
0,1 mg
0,02 mg
15 mg
7,5 mg","Bovinos, ovinos, caprinos, porcinos, caninos y felinos"
ELECTROLITOS,"

50 g
255 g
235 g
100 g
30 g",Porcinos y aves
BROMAVET 20,"

20 g
1,5 g",Aves
KEIAVET,"

1 g
0,5 g
0,04 g
3 g","Bovinos, equinos, ovinos, caninos y felinos"
SANA-PIEL,"

95 g
1 g
1 g
0,5 g
","Equinos, caninos y felinos"
GRAMICIN,"

100.000 U.I
200.000 U.I.
5 mg","Bovinos, equinos, porcinos, caprinos y caninos "
CIPERMETRINA 15%,"

150 g","Bovinos, ovinos y caprinos"
TIOSUL,"

50 mg",No aplica
"IVERCHEM 3,15%","

31,5 g",Bovinos
OXIMIX 80%,"

80 g",Aves y porcinos
COCCIHIT,"

20 g","Bovinos, ovinos, porcinos y aves"
TYLOFARM,"

100 g",Aves y porcinos
PRINOTIN,"

5 mg",Bovinos
DICLAZYL,"

1 g",Aves
KYRODERM,"

1 g
0,50 g
0,04 g","Bovinos, equinos, caninos y felinos"
RECONFORT,"

10 mg",Caninos y felinos
CUPROCIDE ,"

8 g
5 g",No aplica
INSUFLOXACINA 10%,"

100 mg",Aves
MAXIVET 25%,"

25 g",Aves
ANDIPER 15%,"

150 g",Bovinos
VITAMINA A INYECTABLE,"

80.000 U.I.","Bovinos, equinos, ovinos y porcinos"
GESTAMIN,"

800 mg
1'000.000 U.I.
150.000 U.I.
500 mg
100 mg
400 mg
200 mg
50 mg
500 mg
1.000 mg
42 mg","Bovinos, equinos, ovinos, caprinos y porcinos"
BLASK,"

458 mg
458 mg",Caninos y felinos
FOSFAMEK,"

4,69 g
1,71 g
3 mg
472 mg
300 mg
","Bovinos, equinos, porcinos, ovinos, caprinos y caninos"
VERMOTRIX,"

15 mg
14,49 mg",Caninos y felinos
BOLDEVET,"

50 mg","Bovinos, equinos, ovinos, porcinos y caninos"
BIOMECTRINA 15%,"


150 g",Bovinos
SULFICURE,"

0,1 g
0,5 g
12 g
2 g",Caninos
K-AVIAR,"

7 g",Aves
POMADER,"

1,0 g
0,5 g
0,04 g
3 g","Bovinos, equinos, porcinos, ovinos, caninos y felinos"
INSUMASTIN LACTACIÓN,"

20    mg
50    mg      
0,5  mg",Bovinos
YODOGROZ,"


22,5 g",No aplica
BIODES GOLD,"

10 g
15 g",No aplica
IOFORCLIN,"

50 mL
16 mL",No aplica
MASTIGROZ -SEC,"

700 mg
350 mg",Bovinos
TRINFENGROZ,"

6 g
12 g","Bovinos, Caprinos, Ovinos"
MELOXIC SUSPENSIÓN,"

150 mg",Caninos y felinos
FOSFOMIX 25,"

25 g",Aves
POLINUTRY,"

10'000.000 U.I
1'000.000 U.I.
5.000 U.I.
3.000 mg
500 mg
2.000 mg
1,500 mg
5.000 μg
7.500 mg
3.500 mg
10 mg
20.000 mg



10.000 mg
6.250 mg
6.000 mg",Aves
KEIADERM CHAMPÚ INSECTICIDA,"

1 g","Equinos, caninos y felinos"
CEFTIOFUR SÓDICO,"                                                     

50 mg","Bovinos, equinos y porcinos"
DETERCLIN,"

300 g
62,5 g
15 g
5 g",No aplica
FENBENDAZOL BRAIN O.P.,"

250 mg","Bovinos, ovinos, caprinos, equinos y porcinos"
PROXY 200 L.A.,"

200 mg","Bovinos, porcinos, ovinos y caprinos "
KEIDERM TALCO INSECTICIDA,"

1 g","Equinos, caninos y felinos"
"AMINOÁCIDOS, VITAMINAS, MINERALES, ELECTROLITOS Y ÁCIDOS GRASOS.","


50 μg
1,0 U.I.
220.000 U.I.
0,05 mg

2,1 mg
10 mg
2,1 mg
0,5 mg
2 mg
4,2 mg
4,2 mg
2,0 mg
2,1 mg

0,42 mg
0,15 mg
2,1 mg

0,02 mg
0,10 mg
15 mg

7,5 mg","Bovinos, ovinos y caprinos"
OTO KENNEL,"

0,04 g
0,15 g
2,25 g",Caninos y felinos
FOSFOBEST RF,"

100 mg
9,0 mg
20 mg","Bovinos, equinos, porcinos, ovinos, caprinos y caninos "
POLIVIT AVES,"

7'000.000 U.I.
1'000.000 U.I.
5.000 U.I.
3,0 g
0,5 g
2,5 g
1,5 g
5,0 mg
6,0 g
7,5 g
20 g
0,04 g
0,5 g
7,0 g
6,0 g
6,0 g
5,3 g",Aves
SULFA-TRIMETOPRIM S.T.R. BRAIN O.P.,"

50 g
10 g","Bovinos, equinos, porcinos, caninos y aves"
LACTOMAST,"

0,04 g
5,0 g
2,0 g",Bovinos
PIGFEN SOLUBLE,"

100 mg",Porcinos
KONECTROL,"

31 g
3,0 g
3,0 g
3,0 g",No aplica
FAZOL-V 2%,"

2,0 g","Equinos, caninos y felinos"
FLONICOL,"

300 mg",Bovinos
CAOLÍN PECTINA,"

20 g
0,5 g","Bovinos, equinos, porcinos, caninos, felinos y aves"
LAZARTRIL,"

5 g
0,5 g","Bovinos, porcinos y aves"
BIOMASTIN LACTACIÓN,"

200 mg
75 mg
4 mg",Bovinos
ANKOFEN POMADA,"

3,0 g
1,0 g
5,0 g
3,0 g
10 g
3,0 g","Bovinos, equinos, ovinos, caprinos, porcinos, caninos y felinos"
MICOMIX ,"

10 g",Aves y porcinos
LEVAFARM,"

98 g",Aves
OTTICUS,"

3 mg
1 mg
10 mg",Caninos
INSUBOLDEN 50 mg,"

50 mg","Bovinos, equinos, porcinos y caninos "
UBREVET,"

2,0 g
10 g
5,0 g
1,0 g",Bovinos y caprinos
NICOX,"

25 g",Aves
BROXICLIN,"

3 mg
50 mg
20 mg","Bovinos, equinos, porcinos, ovinos, caprinos y caninos"
INSUPEK,"

66 g
25 g
2 g
0,03 g
0,36 g
0,28 g","Bovinos, equinos, porcinos, ovinos, caprinos y lepóridos"
"YODOVAC 2,5%","


27,53 g",No aplica
KYROTILM,"

250 mg",Aves
SILOMIX,"

12 g",Aves
APRACYN 200,"

20 g",Porcinos
TILOSINA BRAIN O.P.,"

200 mg","Bovinos, ovinos, caprinos y porcinos "
CEFTIMEK,"


50 mg","Bovinos, equinos, porcinos y caninos "
PONDICILINA L.A.,"


300.000 U.I.","Bovinos, ovinos, caprinos, equinos, porcinos y caninos "
FLEXIGEL,"


500 mg


333 mg",Perros y Gatos
BACITRACINA METILENO 11%,                                    11 g ,Aves 
SUPRADES ,"                               0,5 g                        25 g                     6,0 g                    6,15 g                    4,0 g",No aplica 
PRELL F,"

150 mg. ","Bovinos, Equinos, Ovinos, Caprinos, Caninos y Felinos"
MULTIVITAMINICO SAN PEDRO,"

6.000.000 UI
600.000 UI
6.000 UI
500 mg.
2.000 mg.
2 000 mg.
6 mg.
25.000 mg.
3.000 mg.
200 mg.
15.000 mg.
7.500 mg.
5.000 mg.
",Aves y Porcinos
QUERCETOL VET,"

125 mg","Bovinos, equinos, porcinos, perros y gatos"
INFLENEX INYECTABLE,                               50 mg,"Bovinos, Equinos, Ovinos y Caprinos"
OXITETRACICLINA 200 L.A.,"


200 mg","Bovinos, Caprinos, Ovinos, Porcinos y Aves"
TILMICON, 250 g,Aves 
COBEVIT,"                              3,0 g                  0,004 g                0,5 g                 0,25 g               1,0 g","Bovinos, Equinos, Ovinos, Caprinos, Porcinos, Caninos y Felinos "
SULTRIHIT,                                                     400 mg                                    80 mg,"Bovinos, Ovinos, Equinos y Porcinos"
BIOFLOX TABLETAS,                               25 mg,"Caninos, Felinos y Aves "
PEDICAN BAÑO SECO,"                                0,5 g",Felinos y Caninos 
BIOMASTIN SECADO,                           500 mg                250 mg,Bovinos 
BENZAMEK,"


125.000 UI
  93.750 UI
  93.750 UI","Bovinos, Equinos, Porcinos y Ovinos"
COLVIT A ,"


 500.000 U.I. ","Bovinos, Ovinos y Porcinos"
FLUNYHIT INYECTABLE,"


    50 mg","Equinos, Bovinos y Porcinos"
DINAMIX INYECTABLE,"

30 gr.",Porcinos
TILMICOVET PREMIX,"


    20 g",Porcinos
FOSFOAVIC 25%,"


    25 g",Aves
ENROXIN 100,"


   100 mg",Aves
SISATRIM POLVO SOLUBLE,"


62.5 g
12.5 g",Porcinos y Aves
LAZARTIN,"


116 mg

  35 mg
  75 mg
",Caninos y Felinos
TORVITRAZ,"


100 mg

1.125 mg

0.34 mg

0.80 mg

0.05 mg
5 mg
","Bovinos, Equinos, Porcinos, Ovinos, Caprinos y Caninos"
ISAPEN MK,"


  2.0 mg","Bovinos, Equinos, Porcinos, Caninos y Felinos"
ZERABOL,"


10 mg
10 mg
",Bovinos
BROMHEXINA 0.5 %,"


    0.5 g","Aves, Bovinos, Equinos, Porcinos, Caninos y Felinos"
FOSMYCINA 90,"
90 g.",Aves
CIPROMIX - 20,"


    20 g",Aves
RIBOFOLINA ORAL,"


1000 mg
200 mg
600 mg
500 mg
1000 mg
2200 mg
500 mcg
150 mg
1000 mg
100 mg
100 mg
1800 mg
","Bovinos, Equinos, Ovinos, Caprinos, Porcinos, Caninos, Felinos y Aves"
COMPLEJO B,"



10      mg
3        mg
5        mg
100  mcg
5        mg
100    mg
","Bovinos. Equinos, Porcinos, Ovinos, Caninos y Felinos"
KAVIMAX,"


    10 g",Aves
QUATTRIX,"

  
    50 g

  
",No aplica
BIOFLOX INYECTABLE,"


    200 mg",Caninos y Felinos
ECTOPRIN,"


    5 mg",Bovinos
BIOMECTIN 3.15% L.A.,"


   31.5 mg",Bovinos
CIPROVIC,"


   18,02 g",Aves y Porcinos
TETRAPLUS 15%,"


    15 g",Aves y Porcinos
DERMOHEX CHAMPU,,
"ACARIX 20,8",,
SYNTOMICINA OXI 20/20,"


20 g
20 g",Porcinos y Aves
CLORTETRAX 90,"

  90 g
  
",Porcinos y aves
PIGFEN 300 INYECTABLE,,
UNGÜENTO CELLS,"

0,01 g
  0,1 g
0,05 g","Bovinos, equinos, caprinos, ovinos, cerdos, perros y gatos."
DRAVAFOS,,
BIONEUTROL LIQUIDO,,
LAZARVIT,,
PROVIDE B200,"

 35 mg
   9 mg
 10 mg
 40 mg
 60 mg","Bovinos, equinos, porcinos,ovinos, caprinos, perros y gatos."
KANASAN,,
INSUFEN 25 Co,"

25 g","Bovinos, ovinos y porcinos"
CALMAVET,,
ALBENDAZOL 25%CO,"

25 g","Bovinos, ovinos y caprinos "
FENOCLIN,,
BIONEUTROL POLVO,,
MELOXIC 2%,"

20 mg","Bovinos, equinos y porcinos"
MEBENDAZOL 90%,,
INSUDEX,,
ADEMAX 500 SOLUCION INYECTABLE,"


600.000 U.I.","Bovinos, Equinos, Caprinos, Ovinos, Porcinos, Caninos y Felinos"
CALFORTAL DEX,"


18.37 g

  6.02 g

16. 5 g
","Bovinos, Equinos, Porcinos, Ovinos, Caprinos, Caninos y Felinos"
COLYSTIN 400,"


400 gr",Aves
DINAMIX 800,"


800 g ",Aves y Porcinos
RENOMICINA,"


    30 g",Bovinos
TOLTRAZYL ORAL,"


    5 g",Aves 
VITAMINOCHOCK-L,"


10.030.000 UI
  2.000.000 UI
           1,75 g
           2,5   g
           1,5   g
       0,005   g
           0,5 mg
          25   mg
           2,5   g
           3      g
         16,25 g
           7,5   g

          6,43  g
          7,19  g
        12,09  g
          4,28  g
        17,9    g
          4,59  g
          4,29  g
          4,44  g
        11,93  g
        10,40  g
          1,07  g
          7,04  g
        19,65  g
          7,19  g
          7,34  g
          2,14  g
          5,51  g
          8,11  g","Aves, Bovinos, Equinos, Ovinos, Caprinos, Porcinos, Caninos y Felinos"
SULFAMETAZINA SÓDICA 90%,"


    90 g",Aves
MASTITIS REACTIVO,"


    2 g","Bovinos, Ovinos y Caprinos"
TROTHION,"


500 g.",No aplica
TILCOMIX PREMIX,"


40 g",Porcinos
SULGEN 100,"

100 mg.","Caninos, Felinos, Equinos, Aves y Bovinos"
ZADOK,"

18.7 mg.
140.2 mg.",Equinos
PRIMILEN,"

150 mg.",No aplica
TILCOSIN PREMIX,"       

                                            20 g.",Porcinos
ALMET GEL,"       
                                           2 g.",Caninos y Equinos
AGNIMUTIN PREMIX,"     

                                          10 g.",Aves y Porcinos
ROBENIDINA 6.6 % PREMIX,"            

                                   6.6 g.",Aves
FAMETAZIN,"                
                               250 mg.","Bovinos, Equinos, Ovinos, Porcinos y Aves"
ALMETRIN SC 60,"         
                                       60 g.",No aplica 
FORMALNEST,"          
                                     33.3 g.                                  2 g.                                          2 g.                                        1 g.",No aplica
NARAZINA + NICARBAZINA 80/80,"                                                  


8 g.                                          8 g.",Aves 
OXITETRAX 90,"     
                                           90 g.",Aves y Porcinos
DEFENDOG,"

1.20 g.",Caninos
CLOPIDOL + METHILBENZOQUATO 20+1.67 %,"         

                                     20 g.                                      1.67 g.",Aves 
CIPERMETRINA 15 EC,"      

                                            150 g.",Bovinos
FRONIL SPRAY,"       
                                     0.25 g.",Caninos y Felinos
DOXICICLINA 100,"

100 mg.",Caninos y Felinos
LAKTO. +,"                
                                      25 mg.",Bovinos
MONEMIX 20%,"

20 g.",Aves
LARVIBLAS,                              50 g,"Bovinos, equinos, porcinos, ovinos y caninos "
FORTAVES - E,"

6.000.000 U.I
500.000 U.I
5.000 U.I
3.000 mg.
500 mg.
2.000 mg.
1.500 mg.
150 mg.
5.000 mcg.
20.000 mg.
4.000 mg.

3.000 mg.

0.600 mg.

0.700 mg.


",Aves
CLORHEXIN SPRAY,"

0.5 g.","Caninos, Felinos, Equinos, Bovnos, Ovinos y Porcinos"
CLURSOL,"              
                                10 mg.                                  100 mg.              ",Bovinos
FORTAVES L-M,"

6.000.000 U.I
500.000 U.I
5.000 U.I
3.000 mg.
500 mg.
2.000 mg.
1.500 mg.
20.000 mg.
18.000 mg.
9.000 mg.
5.000 mg.
5.000 mcg.
150 mg.



",Aves
FERROPLEX Cu,"    
                                               1 mL.                                           

1.97 mg.","Bovinos, Equinos, Ovinos, Caprinos y Porcinos"
FERMOMARKA,"

11.77 g.",Bovinos y Ovinos
CASQUITRAN,"

5 g.",Bovinos y Equinos
KEIAVIT COMPLEJO B,"

150 mg.
75 mg.
2500 mg.
75 mg.
500 mg.
200 mg.
","Bovinos, Equinos, Porcinos, Ovinos, Caprinos, Caninos, Felinos y Aves."
DELMOX 300,"

300 mg.",Bovinos y Porcinos
IVERCHEM EQUINOS,"

1.87 g.",Equinos
DOLOMEX G.A.,"                         
                     
20 mg.","Bovinos y Porcinos, Equinos"
BIODIPEN BZ,"

150000 UI
75000 UI
75000 UI","Bovinos, Equinos, Caprinos, Porcinos y Caninos"
FULLVIT,"

5000 U.I.
10 mg.
3 mg.
100 mg.
50 mcg.
5 mg.
5 mg.
5 mg.

","Bovinos, Equinos, Porcinos, Ovinos y Caprinos"
DESCENSOR VET,"
230 mg",Caninos y felinos.
NAQUAHIT,"                                                15 mg                                      0,75 mg",Bovinos y Equinos
DESCENSOR 10%,                                                     1000 g,Aves y Porcinos
MULTIFOR 11,"

0.6 g
0.5 g
5 g
0.6 g
0.6 g
8 mg
2 g
1.5 g
2.5 g
0.1 g
0.1 g
","Bovinos, equinos, porcinos, ovinos y caninos"
PANATOX,"

83 g",Bovinos
NEXAETHION E.C. 83%,                                                 830 g,Bovinos
NEXAMITRAZ E.C. 20.8%,"                                          


    20.8 g",Bovinos
ETHIOKILL,                                                830 mg,Bovinos
CREOVET,"


    31.4 g",No informa
VETAMIDIUM,"


    20 mg.","Bovinos, Equinos, Ovinos y Caprinos"
RATIFUL,"


    0.005 g.",No aplica
DEXADIUR,"


10 mg.
0.5 mg.
",Bovinos y Equinos
CAN - AMOR SPOT - ON,"


78.125 g.
2.575 g.
",Caninos y Felinos
REETS CHAMPU,"                                              


    3.0 g.",Caninos y Felinos
CINCOFERT N.F.,"


130 mg.
26.4 mg.
20 mg.
0.3 mg.
50 mcg.
","Bovinos, Equinos, Porcinos, Ovinos, Caprinos y Caninos"
DERMOBEST,"                                              


0.25 g.                                  0.25 g.                                          1  g.                                       0.676 g.                           ","Equinos, Caninos y Felinos"
MITRA,"


55.000 U.I
10.000 U.I
120 U.I
30 mg.
100 mcg.
120 mg.
150 mcg.
240 mg.
150 mg.
21.000 mg.
42.000 mg.
4.000 mg.
120 mg.
",Caninos y Felinos
ENERFOS,"


90.6 g.
8.5 g.
20.45 g.
82.50 g.","Bovinos, Equinos, Porcinos y Ovinos"
DERMATOSYN CREMA,"


2 g.
0.3 g.
0.04 g.","Equinos, Bovinos, Caninos y Felinos"
FOXTON,"                                                     


10 mg.","Bovinos, Ovinos y Porcinos"
TICLORVET,"


33.3 g.
 100 g.",Aves
FASYHIT SUSPENSION ORAL,"                                                      


125 mg.                                                                200 mg.",Ovinos y Caprinos
C.M.T. REACTIVO MASTITIS,,
ROANKET,"

100 mg.","Bovinos, Equinos, Caninos, Felinos y Porcinos"
BROMATOS,"


25  g.
1.5 g.",Aves y Porcinos
PREDATHION SOLUCIÓN,"


    83 g.",Bovinos
FLUBEN - MIX 5%,"                                              



    5 g.",Aves y Porcinos
ENILCOX,"

5 g.",Aves
JABÓN RASKE V.M.,"


    0.9 g.",Caninos
OUROVIT ADE,"

500.000 U.I
75.000 U.I
50 U.I","Bovinos, Ovinos, Caprinos, Porcinos, Equinos, Caninos, Felinos y Aves"
CANIPET'S FORT SUSPENSIÓN,"

150 mg

145 mg
50 mg
30 μg",Caninos
PEDICAN JÁBON,"


    0.5 g.
",Caninos y Felinos
CALCIO-FOSFORO-MAGNESIO-DEXTROSA,"

181.20 mg.

20.45 mg.

58.54 mg.

135 mg.","Bovinos, Equinos, Porcinos, Ovinos, Caninos y Felinos"
YEAST GUARD,"

                                                  400 mg.",No aplica
ZERAMECTIN,"                                                    


10 mg.                                   10 mg.",Bovinos
ENROHIT,"


    100 mg.",Aves
DYNA-VET 10%,"

                                                        10 g.",Aves y Porcinos
ESPIRAMICINA INYECTABLE,                                              600.000 U.l,"Bovinos, Porcinos, Ovinos y Caninos y Aves"
BOVI-NEXT,"

12.0 g.
7.5 g.","Bovinos, Caprinos y Ovinos"
PEDICAN SUSPENSION,"

150 mg.
145 mg.
50 mg.
30 mcg.",Caninos y Felinos
FEX 25 Co.,                                                  25 g.,"Bovinos, Ovinos y Caprinos"
DICICLIN 20,"

20 mg.",Caninos y Felinos
COCCIBIOGEN,"

20 g.","Bovinos, Ovinos y Aves"
AGNIMUTIN POLVO SOLUBLE,                                                  45 g.,Aves y Porcinos
KEDEX,"

520.000 U.I.","Bovinos, Ovinos, Porcinos, Caninos y Aves"
VITACELL - PET,"                                                   100 mg.                                  15 mg.                                     180 mg.                                  208 mg.                                  500 mcg.                                                 50,000 U.l                             10,000 U.l                           2,000 U.l                              21 g.                                            3.78 g.                                          4.4 g.                                      74 mg.                                      2.7 mg.                                     0.174 mg.                                   0.044 mg.","Caninos, Felinos, Equinos y Porcinos"
OXYMYZIN,                                               200 mg.,"Bovinos, Porcinos y Ovinos"
MAXPREN ,                                              0.0042 mg.,"Bovinos, Equinos y Conejos"
UTERBAC,                                               0.05 mg.,Bovinos y Porcinos
FORZEN B15,                                              2500 µg.                               1500 µg.                            20 µg.,"Equinos, Bovinos y Caninos"
IVERMECTINA 0.025% PRAZIQUANTEL 5.0%,"

0.025 g.
5.0 g.",Caninos
MULTIVITAMINICO FORTAPLEX,"

25.000 U.I
100 mg.
10 mg.
5 mg.
5 mg.
0.1 mg.
45 mg.
15 mg.
","Bovinos, Porcinos, Equinos, Ovinos y Caninos"
