No REGISTRO,FECHA OTORGADO REGISTRO Y No RESOLUCION,FECHA MODIFICACION  Y Nª RESOLUCION,NOMBRE DEL PRODUCTO,NOMBRE EMPRESA,INGREDIENTE ACTIVO,CONCENTRACION,CAT TOXIC,CLASE DE PRODUCTO,TIPO FOR.,PAIS DE ORIGEN DEL PRODUCTO FORMULADO,CULTIVO,Name
732,19-05-2010/ 1636,"07-06-2011/ 2442
21-06-2012/ 1807",CHAMP® DP,NUFARM COLOMBIA S.A,"HIDROXIDO DE COBRE
105 de 365",576 g/Kg,II,FUNGICIDA,WG,ESTADOS UNIDOS CHILE,"ROSA, CAFÉ, TOMATE",Table_11
733,19-05-2010/ 1639,,SHARBENDAZOL 500 SC,SHARDA COLOMBIA S.A,THIABENDAZOLE,500 g/L,II,FUNGICIDA,SC,INDIA,"SORGO, ROSA",Table_11
734,25-05-2010/ 1863,23-03-2012/ 788,FRILEX,INTEROC S.A SUCURSAL COLOMBIA,FURALAXYL - M,125 g/L,II,FUNGICIDA,EC,ARGENTINA,"ROSA, TOMATE",Table_11
735,19-05-2010/ 1638,"12-04-11/ 1643
13-05-2015/ 1429
18-03-2016/ 2865
01-09-2019/ 13418",BRISK® 500 EC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,DIFECONAZOLE + PROPICONAZOLE,"250 g/L              250
g/L",II,FUNGICIDA,EC,"COLOMBIA, ISRAEL",ARROZ,Table_11
736,11-06-2010/ 1976,13-11-2012/ 4593,PRIORI® ZTRA,SYNGENTA S.A,CYPROCONAZOLE+ AZOXYSTROBIN,"80 g/L
200 g/L",II,FUNGICIDA,SC,REINO UNIDO BRASIL,ARROZ,Table_11
737,03-06-2010/ 1923,"29-02-2012/ 524
19-06-2013/ 2685
22-07-2015/ 2484",TOTTEM,INTEROC S.A SUCURSAL COLOMBIA,DIFLUBENZURON+ LAMBDA- CYHALOTRINA,"251 g/Kg
102 g/Kg",III,INSECTICIDA,WP,CHINA ECUADOR,"TOMATE,  ARROZ,  MAIZ, PAPA",Table_11
738,28-05-2010/ 1881,17-07-2013/ 3202,FUNGOZEB 25 EW,AGROSER  S.A,TEBUCONAZOLE,250 g/L,III,FUNGICIDA,EW,COLOMBIA,ARROZ,Table_11
739,02-06-2010/ 1914,"22-03-2011/ 1424
31-12-2012/ 5977
22-07-2015/ 2483
12-02-2020/ 61978",SEROK,INTEROC S.A SUCURSAL COLOMBIA,"ACEFATO IMIDACLOPRID
106 de 365","450 g/Kg
50 g/Kg",III,INSECTICIDA,WP,CHINA ECUADOR,"TOMATE, ARROZ",Table_11
740,14-12-2010/ 4094,"09-06-2011/ 2477
21-06-2012/ 1806
22-11-2013/ 4903,
27-05-2015/ 1777
07-09-2019/ 13908",MAYORAL ®350 SL,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,IMAZAPIC + IMAZAPYR,"262.5 g/L,
87.5 g/L",lll,HERBICIDA,SL,ISRAEL  COLOMBIA,"CAÑA DE AZUCAR, PALMA DE ACEITE",Table_11
741,03-06-2010/ 1922,31-08-2016/ 11094,SHARDIMETALIN 40 EC,SHARDA COLOMBIA S.A,PENDIMETHALIN,400 g/L,III,HERBICIDA,EC,INDIA,"ARROZ, MAIZ, CEBOLLA BULBO",Table_11
743,21-05-2010/ 1819,"05-10-2011/ 3871
13-11-2012/ 4591
14-12-2015/ 2599",AMISTAR ® ZTRA,SYNGENTA S.A,CYPROCONAZOLE + AZOXYSTROBIN,"80 g/L
200 g/L",II,FUNGICIDA,SC,REINO UNIDO BRASIL,"CAFÉ, SOYA, CEBADA, MAIZ, ARROZ",Table_11
744,12-07-2010/ 2287,06-06-2014/ 1698,OXICLORURO DE COBRE AL 35% DIABONOS,DIABONOS S.A,OXICLORURO DE COBRE AL 35%,614 g/Kg,lll,FUNGICIDA,WP,COLOMBIA,PAPA,Table_11
745,09-06-2010/ 1963,"27-12-10/ 4458
06-07-12/ 1993
27-01-2014/ 346
21-05-2015/ 1503",QUORUM ® 480 WG,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,DIMETHOMORPH + CHLOROTHALONIL,"80 g/Kg
400 g/kg",III,FUNGICIDA,WG,COLOMBIA  ISRAEL,"UVA, PAPA, CEBOLLA BULBO, TOMATE, CEBOLLA LARGA, PUERRO, TOMATE DE ARBOL, LULO, BERENJENA
FRESA",Table_11
746,09-06-2010/ 1960,"14-12-2010/ 4100
15-07-2016/ 8725",SHYPRO SL,SHARDA COLOMBIA S.A.S,CYPROCONAZOLE,100 g/L,II,FUNGICIDA,SL,INDIA,"CLAVEL, ARROZ CAFE",Table_11
747,28-05-2010/ 1882,,FLUSHI 40 EC,SHARDA COLOMBIA S.A,"FLUSILAZOL
107 de 365",400 g/L,II,FUNGICIDA,EC,INDIA,"ARROZ,  PAPA",Table_11
748,09-06-2010/ 1962,"24-11-2011/ 4669
30-04-2014/ 1223
28-08-2018/ 30983",DIFEX ® 250 EC,ARYSTA LIFESCIENCES COLOMBIA S.A.S,DIFECONAZOLE,250 g/L,II,FUNGICIDA,EC,BELGICA,"ARROZ, BANANO, ROSA, CEBOLLA, ORNAMENTALES",Table_11
749,16-06-2010/ 1995,"23-04-2012/ 1040
08-07-2016/ 8389",GEMINIS ® WP,ANASAC COLOMBIA LTDA,IMIDACLOPRID + LAMBDA- CIALOTRINA,"228 g/Kg
100 g/Kg",II,INSECTICIDA,WP,CHILE CHINA,"ROSA, PAPA, CEBOLLA TOMATE,ARROZ,
ORNAMENTALES (ROSA, CLAVEL, POMPON, PASTO",Table_11
750,08-07-2010/ 2265,"12-04-2011/ 1656
18-03-2015/ 803",WASABI® 350 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,IMIDACLOPRID,350 g/L,II,INSECTICIDA,SC,COLOMBIA  ISRAEL,"ROSA, ARROZ, TOMATE",Table_11
751,09-06-2010/ 1961,"20-03-2019/ 3157
25-03-2019/ 3398",ATILA 480 SL,NUFARM COLOMBIA S.A,GLYPHOSATE,360 g/L,II,HERBICIDA,SL,COLOMBIA CHINA,"CEDRO ROSADO, ARROZ, CAFÉ,
PASTOS EN POTREROS",Table_11
752,29-09-2010/ 3176,25-03-2015/ 957,PROPIXANILVECOL 76% WP,COLOMBIANA DE PRODUCTOS VETERINARIOS S.A VECOL S.A,PROPINEB CYMOXANIL,"700 g/Kg
60 g/Kg",III,FUNGICIDA,WP,CHINA,PAPA,Table_11
753,16-06-2010/ 1997,"21 07-2010/ 2428
28-07-2016/ 9470",CLORTRAN®75 WP,MAYORISTAS AGRICOLAS S.A MAGRO S.A,DICLORAN,750 g/kg,II,FUNGICIDA,WP,ESTADOS UNIDOS,LECHUGA,Table_11
754,16-06-2010/ 1998,"11-04-2012/ 938
04-06-2020/ 069316",CACIQUE 420 SC,QUIMICOS OMA S.A,"ISOPROTHIOLANE + KASUGAMYCIN
108 de 365","400 g/L,            20
g/L",II,FUNGICIDA,SC,"COLOMBIA, CHINA",ARROZ,Table_11
755,06-07-2010/ 2246,09-09-2019/ 13969,PILARMECTIN 1.8 EC,PILARQUIM DE COLOMBIA LTDA,ABAMECTINA,18 g/L,II,INSECTICIDA,EC,CHINA,"TOMATE, CLAVEL",Table_11
756,12-07-2010/ 2295,13-09-2019/ 14256,PILARSETE 600 EC,PILARQUIM DE COLOMBIA LTDA,BUTACLOR,600 g/L,III,HERBICIDA,EC,CHINA,ARROZ,Table_11
757,12-07-2010/ 2294,13-09-2019/ 14176,PILARSTIN 500 SC,PILARQUIM DE COLOMBIA LTDA,CARBENDAZIM,500 g/L,III,FUNGICIDA,SC,CHINA,"ROSA, ARROZ",Table_11
758,21-07-2010/ 2422,,SOFION 80 WG,AGROSER  S.A,FIPRONIL,800 g/kg,ll,INSECTICIDA,WG,VENEZUELA,ARROZ,Table_11
759,21-07-2010/ 2423,"21-02-2013/ 930
14-08-2014/ 2504
06-07-2018/ 27848",SOFION 200 SC,AGROSER  S.A,FIPRONIL,200 g/L,ll,INSECTICIDA,SC,VENEZUELA,"ARROZ, POTREROS, CEBOLLA BULBO",Table_11
761,06-07-2010/ 761,"05-05-2016/ 5008
13-08-2020/ 073289",CARBENDER 50 SC,ISAGRO COLOMBIA S.A.S,CARBENZAMIM,500 g/L,III,FUNGICIDA,SC,ESPAÑA CHINA,ARROZ,Table_11
762,27-07-2010/ 2506,"26-07-2013/ 3388
06-10-2015/ 3576
07-10-2016/ 13835",BOLD 180 EC,AVGUST COLOMBIA SAS,"CYHALOFOP BUTIL
109 de 365",180 g/L,II,HERBICIDA,EC,CHINA,"ARROZ, TOMATE, LIMON",Table_11
763,21-07-2010/ 2431,"11-04-2013/ 1759
15-04-2016/ 4072
08-06-2016/ 6679
27-04-2017/ 4952
09-05-2018/ 24437
20-03-2019/ 3099
07-04-2020/ 065157
06-08-2020/  072830",GLUFOMAX 150 SL,ALTRIA CROP CARE S.A.S,GLUFOSINATE AMMONIUM,150 g/L,ll,HERBICIDA,SL,CHINA,"ALGODÓN, CAÑA DE AZUCAR,
BANANO",Table_11
764,21-07-2010/ 2421,"16-03-2012/ 638
15-04-2016/ 4072
08-06-2016/ 6679
08-06-2017/ 6954
09-05-2018/ 24437
20-03-2019/ 3099
07-04-2020/ 065151
06-08-2020/  072830",ANDONIL 720 SC,ALTRIA CROP CARE S.A.S,CLOROTALONIL,720 g/L,ll,FUNGICIDA,SC,CHINA,"ARROZ, TOMATE",Table_11
765,16-08-2010/ 2578,"17-07-2013/ 3200
06-10-2015/ 3576
06-08-2020/ 072838
11-09-2020/ 075353",PENDIMETALINA 400 EC,PHYTOCARE S.A.S,PENDIMETALIN,400 g/L,ll,HERBICIDA,EC,CHINA,ARROZ,Table_11
766,02-08-2010/ 2549,"26-07-2013/ 3383
16-10-2014/ 3239
14-09-2015/ 3261
05-02-2020/ 61420",FACTOR 200 SC,PHYTOCARE S.A.S,FIPRONIL,200 g/L,II,INSECTICIDA,SC,CHINA,"ARROZ ,PAPA, ROSA",Table_11
767,12-07-2010/ 2286,15-04-2015/ 1097,DIMETHOMORF VECOL 50%WP,VECOL S.A,DIMETHOMORPH,500 g/Kg,lll,FUNGICIDA,WP,CHINA,PAPA,Table_11
768,21-07-2010/ 2426,"11-05-2011/ 2026
12-04-2018/ 22942
23-06-2020/ 070190",METRERO 240 SL,NUFARM COLOMBIA S.A,PICLORAM,240 g/L,lll,HERBICIDA,SL,BRASIL  ESTADOS UNIDOS CHINA,POTREROS,Table_11
769,10-08-2010/ 2618,"26-07-2013/ 3389
16-10-2015/ 3684
22-03-2018/ 22166
29-05-2018/ 25934",ERAGON 50 EC,PHYTOCARE S.A.S,"LUFENURON
110 de 365",50 g/L,lll,INSECTICIDA,EC,CHINA,"MAIZ, TOMATE, PALMA DE ACEITE",Table_11
770,23-07-2010/ 2479,29-05-2014/ 1640,VERTIZELL 18 EC,ZELL CHEMIE COLOMBIA LTDA,ABAMECTIN,1.8 g/L,lb,INSECTICIDA ACARICIDA,EC,ESPAÑA,CLAVEL,Table_11
771,06-09-2010/ 2943,"16-11-2011/ 4343
27-11-2012/ 5142
25-03-2015/ 956
22-11-2017/ 15537
24-01-2018/ 19636
11-04-2018/ 22906
17-07-2019/ 9998
11-09-2020/ 075367",POINTER® 250 SC,FMC COLOMBIA S.A.S,FLUTRIAFOL,250 g/L,II,FUNGICIDA,SC,DINAMARCA URUGUAY ALEMANIA ARGENTINA COLOMBIA,"BANANO, PLATANO, ARROZ, CAFE",Table_11
772,27-12-2010/ 4459,"13-06-2013/ 2607
29-10-2014/ 3488
10-10-2017/ 12466
16-04-2020/ 065450",DANADIM PROGRESS ® 400 EC,FMC COLOMBIA S.A.S,DIMETHOATE,400 g/L,II,INSECTICIDA,EC,DINAMARCA,"PAPA, TOMATE, ARROZ, CAFÉ, AGUACATE",Table_11
773,23-08-2010/ 2800,"02-03-2011/ 1159
24-12-2012/ 5786
27-08-2014/ 2669
11-08-2015/ 2792
15-07-2016/ 8741
22-03-2018/ 22223
22-07-2020/ 071909",VOLIAM® FLEXI,SYNGENTA S.A,CHLORANTRANILIPROLE THIAMETHOXAM,"100/g/L
200 g/L",lll,INSECTICIDA,SC,FRANCIA ESTADOS UNIDOS,"CAFÉ, ARROZ, SOYA, ALGODÓN, TOMATE, MAIZ, PIMENTON",Table_11
774,10-08-2010/ 2617,"07-10-2016/ 13843
26-10-2019/ 17128
. SE CANCELA REGISTRO CON RESOLUCION No . 071366 DEL 10-07-2020",YOPOL 250® EW,TECNOQUIMICAS  S.A,TEBUCONAZOLE,250 g/L,lll,FUNGICIDA,EW,COLOMBIA CHINA,TOMATE,Table_11
775,10-08-2010/ 2616,"20-03-2012/ 849
15-07-2019/ 9816",ABACMETINA YASER 1.8 EC,YASER S.A.S,ABAMECTIN,18 g/L,II,INSECTICIDA,EC,CHINA,ROSA,Table_11
776,10-08-2010/ 2613,"22-04-2013/ 1862
10-02-2014/  493",RIDONATE® 720 SC,IMCOLVET LTDA,"CLOROTALONIL
111 de 365",720 g/L,lll,FUNGICIDA,SC,ECUADOR,"PAPA, TOMATE, PLATANO",Table_11
777,09-11-2010/ 3548,"15-04-2016/ 4072
08-06-2016/ 6679
09-05-2018/ 24437
20-03-2019/ 3099
07-04-2020/ 065153
06-08-2020/ 072830",CLOMAZIN 480 EC,ALTRIA CROP CARE S.A.S,CLOMAZONE,480 g/L,II,HERBICIDA,EC,CHINA,ARROZ,Table_11
778,17-08-2010/ 2665,"08-08-2014/ 2399
27-03-2015/ 1021
17-07-2019/ 9990",PASO 240 SL,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,PICLORAM,240 g/L,lll,HERBICIDA,SL,COLOMBIA,POTREROS,Table_11
779,17-08-2010/ 2669,"25-04-2013/ 1944
13-09-2016/ 121000",RAFAGA® 2.5 DP,INVESA  S.A,CHLORPIRIFOS,25 g/Kg,lll,INSECTICIDA,DP,COLOMBIA,"CAFÉ,  PASTOS",Table_11
780,30-08-2010/ 2865,"30-04-2014/ 1223
09-05-2018/ 24425",CANTON®450 SC,ARYSTA LIFESCIENCE COLOMBIA S.A.S,PROPAMOCARB CYMOXANIL,"400 g/L
50 g/L",III,FUNGICIDA,SC,BELGICA,"TOMATE,PAPA, ROSA",Table_11
781,30-08-2010/ 2880,,DIFENOSELL 250 EC,AGROPECUARIA Y SERVICIOS DE LOS LLANOS S.A AGROSELL S.A,DIFENOCONAZOLE,250 g/L,II,FUNGICIDA,EC,CHINA,ARROZ,Table_11
782,30-08-2010/ 2876,,TEBUSELL 250 EW,AGROPECUARIA Y SERVICIOS DE LOS LLANOS S.A AGROSELL S.A,TEBUCONAZOLE,250 g/L,II,FUNGICIDA,EW,CHINA,ARROZ,Table_11
783,06-09-2010/ 2942,30-10-2012/ 4265,PROPAMOTAL N-SL,TALANU CHEMICAL LTDA,"PROPAMOCARB HIDROCLORURO
112 de 365",700 g/L,III,FUNGICIDA,SL,CHINA,"ROSA, TOMATE",Table_11
784,30-08-2010/ 2879,,BUTASELL 600 EC,AGROPECUARIA Y SERVICIOS DE LOS LLANOS S.A AGROSELL S.A,BUTACLOR,600 g/L,III,HERBICIDA,EC,CHINA,ARROZ,Table_11
785,30-08-2010/ 2877,,GLIFOSELL 480 SL,AGROPECUARIA Y SERVICIOS DE LOS LLANOS S.A AGROSELL S.A,GLIFOSATO,480 g/L,III,HERBICIDA,SL,CHINA,ARROZ,Table_11
786,16-11-2010/ 3628,"07-05-2015/ 1362
21-09-2015/ 3313
11-05-2016/ 5170",MENTOR® 250 FS,CHEMINOVA AGRO DE COLOMBIA S.A,FIPRONIL,250 g/L,II,INSECTICIDA,FS,URUGUAY ALEMANIA CHINA DINAMARCA,"ARROZ,  ROSA, TOMATE",Table_11
787,30-0/8-2010/ 2878,"08-11-2012/ 4485
21-11-2012/ 4766",FOSSILE 80 WP,TALANU CHEMICAL LTDA,FOSETYL-ALUMINIUM,800 g/Kg,II,FUNGICIDA,WP,CHINA,ROSA,Table_11
788,30-08-2010/ 2862,10-12-2019/ 19900,INTRUSO 380 SC,INVESA  S.A,OXADIAZON,380 g/L,III,HERBICIDA,SC,COLOMBIA,ARROZ,Table_11
789,30-08-2010/ 2852,10-12-2019/ 19896,INTRUSO 250 EC,INVESA  S.A,OXADIAZON,250 g/L,III,HERBICIDA,EC,COLOMBIA,ARROZ,Table_11
790,23-09-2010/ 3132,"29-01-2014/ 410
12-02-2020/ 61952
10-07-2020/ 071361",ISOLAN EVOFARMS 40 EC,UPL COLOMBIA S.A.S.,"ISOPROTHIOLANE
113 de 365",400 g/L,II,FUNGICIDA,EC,COLOMBIA  CHINA – INDIA,ARROZ,Table_11
791,03-05-2011/ 1861,05-07-2013/ 3063,FICLORAM,SEMBRO S.A,"ACIDO 2,4-D PICLORAM","240 g/L
64 g/L",II,HERBICIDA,SL,CHINA,POTREROS,Table_11
792,02-11-2010/ 3454,"06-12-2010/ 4036
15-08-2012 /2602",CUSTODIA ® 320 SC,PROFICOL ANDINA  B.V SUCURSAL COLOMBIA,AZOXYSTROBIN   TEBUCONAZOLE,"120 g/L,
200 g/L",III,FUNGICIDA,SC,COLOMBIA  ISRAEL,"CLAVEL, ROSA, ARROZ",Table_11
793,06-10-2010/ 3221,"07-09-2016/ 11511
11-04-2019/ 4690",INVADER® WP,BASF QUIMICA COLOMBIANA S.A,DIMETHOMORPH,500 g/Kg,III,FUNGICIDA,WP,BRASIL ITALIA,"PAPA, TOMATE, CEBOLLA, MELON, VID, ROSA, TABACO",Table_11
794,06-10-2010/ 3220,"02-09-2011/ 3512
21-09-2016/ 12613
20-05-2019/ 6742",BUPROFENCH 25 SC,SHARDA COLOMBIA S.A.S,BUPROFEZIN,250 g/L,II,INSECTICIDA,SC,INDIA,"ARROZ, TOMATE, ROSAS",Table_11
795,19-10-2010/ 3317,"03-10-2012/ 3711
17-03-2015/ 767
24-07-2015/  2528
11-10-2017/ 12524
20-11-2017/ 15257
24-04-2020/ 066020
CANCELADO CON RESOLUCION No 069290
DEL 04-06-2020",RIZA® 25 EW,FMC COLOMBIA S.A.S,TEBUCONAZOLE,250 g/L,III,FUNGICIDA,EW,DINAMARCA CHINA,"ARROZ, TOMATE, UCHUVA, LULO, AJI, PIMENTON, BERENJENA, AJI DULCE, CEBOLLA DE BULBO, CEBOLLA LARGA, CEBOLLIN, PUERRO, BANANO",Table_11
796,02-11-2010/ 3487,"07-03-2016/ 2257
16-04-2020/  065434",OFICIAL 250 EW,POINT DE COLOMBIA S.A.S,TEBUCONAZOLE,250 g/L,III,FUNGICIDA,EW,CHINA,"PAPA, ARROZ",Table_11
797,25-02-2011/ 1072,,BISO SC,TORREAGRO S.A.S,"BISPYRIBAC SODIUM
114 de 365",105 g/L,II,HERBICIDA,SC,ESPAÑA,ARROZ,Table_11
798,04-02-2011/ 704,17-06-2016/ 7249,KARPY WP,TORREAGRO S.A.S,HEXITHIAZOX,100.5 g/Kg,lll,INSECTICIDA ACARICIDA,WP,ESPAÑA CHINA,ROSAS,Table_11
799,27-12-2010/ 4460,11-04-2012/ 924,DELTAMIN 750 SC,QUIMICOS OMA S.A,CARBENDAZIM + DIETHOFENCARB,"375 g/L
375 g/L",III,FUNGICIDA,SC,"CHINA, COLOMBIA","ROSA, CLAVEL, POMPOM",Table_11
800,06-09-2010/ 2940,"17-03-2011/ 1401
23-10-2019/ 16942",STAROF® WP,RED SURCOS COLOMBIA LTDA,DIMETHOMORPH,500 g/Kg,ll,FUNGICIDA,WP,CHINA,ROSAS,Table_11
801,02-11-2010/ 3456,"13/05/2015/ 1425
20-01-2016/ 534
27-06-2019/ 8699",EFECTIVE ® WG,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,DIMETHOMORPH FOLPET,"113 g/Kg
600 g/Kg",III,FUNGICIDA,WG,ISRAEL,PAPA,Table_11
802,02-11-2010/ 3461,"24-02-2011/ 1033
08-08-2014/ 2415
19-02-2015/ 491
28-06-2019/ 8797
20-07-2019/ 10275",ROZAR ® 60 WG,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,METSULFURON - METHYL,600 g/Kg,III,HERBICIDA,WG,CHINA COLOMBIA,"POTREROS, ARROZ",Table_11
803,02-11-2010/ 3460,"28-04-2011/ 1828 ,
20-01-2016/ 533
15-07-2019/ 9813",SULFON ® 600 WG,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,METSULFURON - METHYL,600 g/Kg,III,HERBICIDA,WG,COLOMBIA CHINA,"POTREROS, ARROZ",Table_11
804,02-11-2010/ 3481,"11-03-2014/ 809
16-04-2020/ 065431",GATILLO 350 SC,POINT DE COLOMBIA S.A.S,"IMIDACLOPRID
115 de 365","36,10% W/V",II,INSECTICIDA,SC,CHINA,"PAPA, POMPON",Table_11
805,22-11-2010/ 3678,"26-11-2012/ 5069
12-08-2014/ 2471",FIPROFED SEMILLAS FS,"FEDERACION NACIONAL DE ARROCEROS  ""FEDEARROZ""",FIPRONIL,200 g/L,II,INSECTICIDA,FS,COLOMBIA INDIA,ARROZ MAIZ,Table_11
806,16-11-2010/ 3595,"29-07-2014/ 2323,
05-06-2017/ 6733",DUOFED®500 EC,"FEDERACION NACIONAL DE ARROCEROS  ""FEDEARROZ""",DIFECONAZOLE PROPICONAZOLE,"250 g/L
250 g/L",II,FUNGICIDA,EC,COLOMBIA,ARROZ,Table_11
807,16-11-2010/ 3626,"12-07-2011/ 2930
29-07-2014/ 2322
19-12-2018/ 39130",METALAFED 72 WP,"FEDERACION NACIONAL DE ARROCEROS  ""FEDEARROZ""",METALAXYL + MANCOZEB,"80 g/Kg
640 g/Kg",III,FUNGICIDA,WP,COLOMBIA INDIA,"TOMATE, ROSA, PAPA",Table_11
808,02-11-2010/ 3486,26-02-2020/ 62660,COHETE 75 WP,POINT DE COLOMBIA S.A.S,CYROMAZINA,0.7576,II,INSECTICIDA,WP,CHINA,"POMPON, TOMATE, CEBOLLA",Table_11
809,05-11-2010/ 3505,"23-09-2011/ 3805
31-05-2012/ 1627
28-08-2012/ 2816
04-03-2013/ 1209
11-04-2013/ 1748
30-04-2014/ 1219
21-07-2015/ 2470",NILO® 300 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,IMIDACLOPRID BIFENTRINA,"250 g/L
50 g/L",II,INSECTICIDA,SC,ISRAEL COLOMBIA,"PASTOS, ARROZ, TOMATE, PAPA, ALGODÓN, CEBOLLA DE BULBO, PALMA DE
ACEITE,, FRIJOL, AGUACATE, UCHUVA, BERENJENA, AJI,DULCE, AJI, LULO, TOMATE DE ARBOL, PIMENTON, CEBOLLA LARGA CEBOLLINES, PUERRO, CAFÉ, SOYA, MELON, DURAZNO,
ROSA, CAFÉ",Table_11
810,07-01-2011/ 0013,,UMBERILIA ® 125 EC,SYNGENTA S.A,ISOPYRAZAM,125 g/L,II,FUNGICIDA,EC,SUIZA,ROSAS,Table_11
811,16-11-2010/ 3625,"30-04-2014/ 1223
20-03-2018/ 22047",ABALONE®18 EC,ARYSTA LIFESCIENCE COLOMBIA S.A.S,ABAMECTIN,18 g/L,ll,INSECTICIDA,EC,BELGICA,CLAVEL,Table_12
812,06-12-2010/ 4034,22-07-2015/ 2496,ZOOMER®390 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,GLYPHOSATE OXYFLUORFEN,"360 g/L
30 g/L",lll,HERBICIDA,SC,ISRAEIl  COLOMBIA,ARROZ,Table_12
813,06-12-2010/ 4035,"12-07-2011/ 2994
13-05-2015/ 1413
27-09-2016/ 13180
22-07-2019/ 10440",FARMER®WG,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,FOSETYL ALUMINIUM    FOLPET,"500 g/Kg
250 g/Kg",lll,FUNGICIDA,WG,ISRAEL COLOMBIA,"PAPA, TOMATE",Table_12
814,06-12-2010/ 4020,24-08-2020/ 074025,TROPICIO ® SL,INVESA  S.A,"PICLORAM  + 2,4 -D","15 g/L
150 g/L",III,HERBICIDA,SL,COLOMBIA,POTREROS,Table_12
815,22-11-2010/ 3677,"20-11-2013/ 4861
11-12-2019/ 20090",ESCORPION®SL,INVESA  S.A,"PICLORAM   2,4-D","80 g/L
160 gL",III,INSECTICIDA,SL,COLOMBIA,POTREROS,Table_12
816,06-12-2010 / 4021,"22-04-2013/ 1856
05-06-2018/ 26240
19-08-2019/ 12667",TRILLA ® 80 WG,INVESA  S.A,DIURON,800 g/Kg,III,HERBICIDA,WG,CHINA,"CAÑA DE AZUCAR, PIÑA, MAIZ",Table_12
817,06-12-2010/ 4022,"08-11-2013/ 4553
25-10-2019/ 17091",ATRAZINA INVESA 500 SC,INVESA  S.A,"ATRAZINE
117 de 365",500 g/L,III,HERBICIDA,SC,COLOMBIA,MAIZ,Table_12
818,13-12-2010/ 4074,"25-07-2012/ 2282
27-05-2015/ 1773
18-04-2017/ 4223
05-05-2019/ 5910",CENTAURO® 720 SC,INVESA  S.A,CLOROTALONIL,720 g/L,ll,FUNGICIDA,SC,COLOMBIA,"PAPA,TOMATE, FRIJOL, BANANO, PLATANO,
CEBOLLA DE BULBO, CEBOLLA LARGA, PUERRO,
TOMATE DE ARBOL ,UCHUVA , LULO, ORNAMENTALES (ROSA, CLAVEL, CRISANTEMO)",Table_12
819,06-12-2010/ 4039,"07-05-2015/ 1371
11-08-2016/ 10223",ZAMPRO ®SC,BASF QUIMICA COLOMBIANA S.A,DIMETHOMORPH AMETOCTRADIN,"225 g/L
300 g/L",II,FUNGICIDA,SC,"BRASIL ESPAÑA
RANCIA ESTADOS UNIDOS","PAPA, TOMATE, UCHUVA, LULO, TOMATE DE ARBOL, AJI, PIMENTON, BERENJENA, AJI DULCE, CEBOLLA, ROSAS, VID, MELON,
AHUYAMA, PEPINO, CALABACIN, SANDIA",Table_12
820,03-12-2010/ 4003,"28-07-2014/ 2314
29-10-2014/ 3481",GLIFOMAX 480 SL,AGRODIA S.A,GLIFOSATO,355.6 g/L,lll,HERBICIDA,SL,CHINA,ARROZ,Table_12
821,03-12-2010/ 4005,,ABBRA ME,INTEROC S.A SUCURSAL COLOMBIA,AMITRAZ BIFENTRIN,100 g/L,II,INSECTICIDA ACARICIDA,ME,ECUADOR,ROSAS,Table_12
822,06-12-2010/ 4033,"17-03-2011/ 1400
23-10-2019/ 16958",RICHTIK®SC,RED SURCOS COLOMBIA LTDA,CARBENDAZIM,500 g/L,lll,FUNGICIDA,SC,ESPAÑA,TOMATE,Table_12
823,13-12-2010/ 4079,"11-10-2017/ 12525
SE CANCELA REGISTRO CON RESOLUCION No . 070349 DEL 24-06-2020",WARRANT ®350 SC,FMC COLOMBIA S.A.S,IMIDACLOPRID,350 g/L,ll,NSECTICIDA,SC,URUGUAY ALEMANIA,"ROSA,ARROZ",Table_12
824,16-12-2010/ 4133,"14-04-2011/ 1689
29-08-2012/ 2844
27-02-2017/ 2124
13-08-2020/  073283",CURAXIL®,ARYSTA LIFESCIENCE COLOMBIA S.A.S,"CYMOXANIL MANCOZEB
118 de 365","80  g/Kg
640 g/Kg",lll,FUNGICIDA,WP,CHINA INDIA BULGARIA,"PAPA, TOMATE, ROSAS",Table_12
825,20-12-2010/ 4335,27-02-2017/ 2121,CURAXIL ®ZETA 720,ARYSTA LIFESCIENCE COLOMBIA S.A.S,CYMOXANIL MANCOZEB,"80 g/K/g,
640 g/Kg",III,FUNGICIDA,WP,CHINA,ROSAS,Table_12
826,14-12-2010/ 4096,13-02-2018/ 20495,MERIDIAN,INTEROC S.A SUCURSAL COLOMBIA,KRESOXIM-METHYL SPIROXAMINE,"250 g/L
250 g/L",lll,FUNGICIDA,SE,ECUADOR,"TOMATE, ROSAS",Table_12
